Date Received,Incident Date,Processing Time (Days),Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
10/23/2014,10/08/2014,15,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,"""-""",0,Deny
11/10/2014,10/23/2014,18,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",0,Deny
12/05/2014,11/13/2014,22,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",368.52,Settle
02/09/2014,09/07/2013,155,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Clothing""",0,Deny
01/06/2014,11/07/2013,60,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""-""",95,Approve in Full
01/06/2014,12/19/2013,18,BOS,Boston (Logan) International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/21/2014,12/21/2013,90,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
01/06/2014,12/22/2013,15,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checked Baggage,"""Other""",0,Deny
01/02/2014,12/23/2013,10,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",1735.91,Approve in Full
01/02/2014,12/14/2013,19,RSW,Southwest Florida International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",14.99,Approve in Full
01/02/2014,12/19/2013,14,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Travel Accessories""",0,Deny
01/02/2014,11/29/2013,34,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Personal Accessories""",475.16,Approve in Full
01/02/2014,12/03/2013,30,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/02/2014,12/15/2013,18,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/02/2014,12/15/2013,18,IAD,Washington Dulles International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
01/02/2014,12/31/2013,2,IAH,Houston - George Bush Intercontinental Airport,Spirit Airlines,Property Damage,Checked Baggage,"""Household Items""",0,Deny
01/02/2014,12/28/2013,5,PWM,Portland International Jetport,Jet Blue,Property Damage,Checked Baggage,"""Clothing; Food & Drink""",0,Deny
01/03/2014,01/02/2014,1,MOB,Mobile Regional,-,Property Damage,Checked Baggage,"""Household Items""",0,Deny
01/02/2014,12/16/2013,17,SJC,Norman Y Mineta San Jose International,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing; Cosmetics & Grooming""",0,Deny
01/02/2014,12/10/2013,23,MSY,New Orleans International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",12,Approve in Full
01/02/2014,12/31/2013,2,IAD,Washington Dulles International,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Computer & Accessories; Other""",162.19,Approve in Full
01/02/2014,12/08/2013,25,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",77.27,Settle
01/02/2014,11/26/2013,37,DFW,Dallas-Fort Worth International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",189.48,Settle
01/02/2014,12/17/2013,16,LGA,LaGuardia ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/02/2014,12/09/2013,24,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Audio/Video""",0,Deny
01/03/2014,01/01/2014,2,RDU,Raleigh-Durham International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",254.06,Approve in Full
01/02/2014,12/05/2013,28,TPA,Tampa International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/02/2014,12/29/2013,4,SNA,John Wayne,UAL  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
01/01/2014,12/18/2013,14,SUX,Sioux Gateway,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Currency""",0,Deny
01/02/2014,12/25/2013,8,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/02/2014,12/29/2013,4,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Audio/Video""",0,Deny
01/02/2014,12/15/2013,18,DFW,Dallas-Fort Worth International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,"""Clothing""",90,Approve in Full
01/02/2014,10/09/2013,85,PBI,Palm Beach International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/02/2014,12/09/2013,24,LAS,McCarran International,USAir  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/02/2014,09/17/2013,107,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,"""Clothing""",0,Deny
01/03/2014,12/16/2013,18,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",531.74,Approve in Full
01/03/2014,12/26/2013,8,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",78.87,Approve in Full
01/02/2014,10/14/2013,80,RDU,Raleigh-Durham International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
01/03/2014,01/01/2014,2,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checked Baggage,"""Home Decor""",0,Deny
01/02/2014,12/03/2013,30,SMF,Sacramento International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Other""",0,Deny
01/06/2014,12/19/2013,18,DEN,Denver International Airport ,Frontier Airlines,Property Damage,Checked Baggage,"""Toys & Games""",0,Deny
01/06/2014,12/25/2013,12,STL,Lambert St. Louis International,USAir  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",100,Approve in Full
01/02/2014,12/29/2013,4,PDX,Portland International,-,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
01/06/2014,08/24/2012,500,TPA,Tampa International,-,Passenger Property Loss,Checked Baggage,"""Personal Accessories""",0,Deny
01/02/2014,12/23/2013,10,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/06/2014,12/26/2013,11,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",99,Approve in Full
01/02/2014,12/04/2013,29,LAS,McCarran International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Audio/Video""",0,Deny
01/03/2014,12/26/2013,8,PBI,Palm Beach International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Other""",626.89,Approve in Full
01/06/2014,12/10/2013,27,F,Foreign airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing; Cosmetics & Grooming""",0,Deny
01/04/2014,12/23/2013,12,BOS,Boston (Logan) International Airport ,Delta Air Lines  ,Property Damage,Checked Baggage,"""Personal Electronics""",0,Deny
01/05/2014,12/16/2013,20,F,Foreign airport,British Airways  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/08/2014,12/29/2013,10,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",26,Approve in Full
01/02/2014,12/27/2013,6,DCA,Ronald Reagan Washington National Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/06/2014,12/24/2013,13,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/03/2014,07/29/2013,158,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
01/06/2014,12/22/2013,15,DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing; Jewelry & Watches""",0,Deny
01/03/2014,12/26/2013,8,SEA,Seattle-Tacoma International,Alaska Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",50,Settle
01/06/2014,12/02/2013,35,SAN,San Diego International,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",42.8,Approve in Full
01/06/2014,08/21/2013,138,IAH,Houston - George Bush Intercontinental Airport,Air France,Property Damage,Checked Baggage,"""Food & Drink""",15,Approve in Full
01/06/2014,12/17/2013,20,BUF,Buffalo Niagara International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/06/2014,12/11/2013,26,LAS,McCarran International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/03/2014,12/18/2013,16,BHM,Birmingham International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
01/06/2014,12/13/2013,24,JFK,John F. Kennedy International,Austrian Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",407.74,Settle
01/03/2014,12/19/2013,15,RDU,Raleigh-Durham International,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",100,Approve in Full
01/03/2014,12/04/2013,30,BNA,Nashville International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/06/2014,12/12/2013,25,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
01/06/2014,12/26/2013,11,ILM,Wilmington International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
