Date Received,Incident Date,Processing Time (Days),Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
03/13/2014,02/08/2014,33,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing; Other; Personal Accessories""",0,Deny
03/10/2014,03/27/2013,348,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
03/12/2014,02/25/2014,15,LAX,Los Angeles International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Musical Instruments & Accessories""",139,Approve in Full
03/12/2014,03/01/2014,11,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",83.05,Approve in Full
03/13/2014,02/19/2014,22,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,"""Other""",35.45,Approve in Full
03/13/2014,03/08/2014,5,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Home Decor""",0,Deny
03/10/2014,02/22/2014,16,MDW,Midway International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/12/2014,02/25/2014,15,IAD,Washington Dulles International,USAir  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",304.76,Settle
03/04/2014,01/28/2014,35,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",32.85,Approve in Full
03/13/2014,02/01/2014,40,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Clothing""",0,Deny
03/13/2014,02/12/2014,29,SEA,Seattle-Tacoma International,Alaska Airlines  ,Property Damage,Checked Baggage,"""-""",0,Deny
03/12/2014,02/23/2014,17,GSO,Piedmont Triad International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/12/2014,03/07/2014,5,OAK,Metropolitan Oakland International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming; Jewelry & Watches""",0,Deny
03/13/2014,02/26/2014,15,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",83.74,Approve in Full
03/12/2014,03/02/2014,10,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,"""Travel Accessories""",125,Approve in Full
03/12/2014,02/27/2014,13,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",105,Settle
03/10/2014,03/01/2014,9,SNA,John Wayne,USAir  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",121.89,Settle
03/13/2014,02/17/2014,24,F,Foreign airport,British Airways  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/10/2014,02/12/2014,26,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/10/2014,12/07/2013,93,PHL,Philadelphia International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Crafting & Hobby""",0,Deny
03/10/2014,02/05/2014,33,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",219.55,Approve in Full
03/10/2014,02/16/2014,22,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Audio/Video""",199.99,Approve in Full
03/10/2014,02/26/2014,12,F,Foreign airport,Copa Airlines,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/13/2014,02/21/2014,20,SMF,Sacramento International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",11.99,Approve in Full
03/13/2014,03/05/2014,8,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",50,Settle
03/13/2014,02/19/2014,22,IAD,Washington Dulles International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cameras; Cameras""",227.66,Settle
03/11/2014,12/13/2013,88,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
03/13/2014,01/22/2014,50,CRP,Corpus Christi International,UAL  ,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",0,Deny
03/13/2014,10/13/2013,151,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses; Clothing; Jewelry & Watches""",0,Deny
03/13/2014,02/19/2014,22,PBI,Palm Beach International,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Other; Other; Personal Electronics""",314.32,Settle
03/12/2014,01/26/2014,45,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",0,Deny
03/13/2014,02/27/2014,14,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/11/2014,02/02/2014,37,PHX,Phoenix Sky Harbor International,British Airways  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/13/2014,02/24/2014,17,ONT,Ontario International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",0,Deny
03/13/2014,03/11/2014,2,OAK,Metropolitan Oakland International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Tools & Home Improvement Supplies""",250,Approve in Full
03/14/2014,02/04/2014,38,CLE,Cleveland Hopkins International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
03/14/2014,12/11/2013,93,DEN,Denver International Airport ,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/10/2014,01/18/2014,51,SLC,Salt Lake City International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
03/14/2014,02/28/2014,14,BOS,Boston (Logan) International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",24,Approve in Full
03/14/2014,02/15/2014,27,IAD,Washington Dulles International,British Airways  ,Passenger Property Loss,Checked Baggage,"""Clothing; Other""",100,Approve in Full
03/10/2014,12/14/2013,86,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",110.06,Approve in Full
03/11/2014,02/24/2014,15,MHT,Manchester Regional Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",0,Deny
03/11/2014,01/12/2014,58,CLT,Charlotte/Douglas International Airport,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",7.25,Settle
03/14/2014,02/26/2014,16,SMF,Sacramento International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""""Books & Magazines & Other""""",75,Settle
03/13/2014,03/03/2014,10,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/14/2014,02/25/2014,17,MCO,Orlando International Airport,Jet Blue,Property Damage,Checked Baggage,"""Other""",0,Deny
03/13/2014,03/09/2014,4,BWI,Baltimore/Washington Intl Thurgood Marshall,-,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
03/14/2014,02/24/2014,18,BOS,Boston (Logan) International Airport ,USAir  ,Property Damage,Checked Baggage,"""Home Decor""",300,Approve in Full
03/10/2014,02/11/2014,27,TUL,Tulsa International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",30.99,Settle
03/14/2014,02/15/2014,27,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Clothing; Sporting Equipment & Supplies""",0,Deny
03/13/2014,03/05/2014,8,SAT,San Antonio International,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/11/2014,01/12/2014,58,HNL,Honolulu International Airport,UAL  ,Property Damage,Checked Baggage,"""Household Items""",31.4,Approve in Full
02/11/2014,02/03/2014,8,LAX,Los Angeles International Airport ,Air New Zealand,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",11.77,Approve in Full
03/13/2014,02/12/2014,29,JAX,Jacksonville International,Jet Blue,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
03/14/2014,03/09/2014,5,LAS,McCarran International,Allegiant Air,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
03/17/2014,01/06/2014,70,SAN,San Diego International,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",128.32,Settle
03/13/2014,03/07/2014,6,GPT,Gulfport-Biloxi International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/17/2014,03/11/2014,6,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Audio/Video""",108.86,Settle
03/14/2014,03/12/2014,2,SLC,Salt Lake City International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items; Travel Accessories""",0,Deny
03/13/2014,03/11/2014,2,MCO,Orlando International Airport,-,Property Damage,Checked Baggage,"""-""",42.33,Approve in Full
03/17/2014,03/03/2014,14,SNA,John Wayne,UAL  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",100,Settle
03/17/2014,02/28/2014,17,ORD,Chicago O'Hare International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
03/17/2014,02/19/2014,26,SEA,Seattle-Tacoma International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",38.03,Approve in Full
03/17/2014,03/13/2014,4,PSP,Palm Springs International,UAL  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
03/17/2014,03/11/2014,6,BWI,Baltimore/Washington Intl Thurgood Marshall,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",78.44,Approve in Full
03/17/2014,02/24/2014,21,JFK,John F. Kennedy International,Lufthansa  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/12/2014,02/14/2014,26,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/17/2014,03/10/2014,7,HNL,Honolulu International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",598.54,Settle
03/17/2014,03/11/2014,6,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Clothing; Cosmetics & Grooming; Other""",0,Deny
03/15/2014,02/14/2014,29,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/17/2014,02/25/2014,20,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Currency""",2200,Approve in Full
03/17/2014,03/13/2014,4,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",0,Deny
03/13/2014,01/11/2014,61,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,"""Clothing""",192.28,Approve in Full
03/17/2014,01/26/2014,50,JFK,John F. Kennedy International,China Airlines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/18/2014,02/23/2014,23,DEN,Denver International Airport ,Delta Air Lines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",50,Approve in Full
03/17/2014,01/16/2014,60,SNA,John Wayne,UAL  ,Passenger Property Loss,Checked Baggage,"""Personal Accessories""",336.78,Settle
03/17/2014,03/14/2014,3,DEN,Denver International Airport ,Frontier Airlines,Property Damage,Checked Baggage,"""Automobile Parts & Accessories""",95,Approve in Full
03/17/2014,03/13/2014,4,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
03/17/2014,03/16/2014,1,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",38.5,Settle
03/13/2014,02/24/2014,17,SJU,Luis Munoz Marin International,USAir  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",20,Approve in Full
03/13/2014,02/18/2014,23,KOA,Kona International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",8.49,Approve in Full
03/14/2014,02/24/2014,18,BOS,Boston (Logan) International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
03/14/2014,02/25/2014,17,SJU,Luis Munoz Marin International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/14/2014,02/20/2014,22,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/14/2014,02/20/2014,22,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",25.66,Approve in Full
03/14/2014,01/06/2014,67,DTW,Detroit Metropolitan Wayne County Airport,Royal Jordanian Airline  ,Passenger Property Loss,Checked Baggage,"""Automobile Parts & Accessories""",0,Deny
03/19/2014,02/17/2014,30,MHT,Manchester Regional Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Clothing""",60,Approve in Full
03/19/2014,12/18/2013,91,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Home Decor""",0,Deny
03/14/2014,10/27/2013,138,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/14/2014,02/10/2014,32,LAX,Los Angeles International Airport ,Qantas Airlines,Passenger Property Loss,Checked Baggage,"""Home Decor""",0,Deny
03/18/2014,03/12/2014,6,DCA,Ronald Reagan Washington National Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
03/18/2014,02/28/2014,18,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",205.32,Approve in Full
03/18/2014,03/16/2014,2,AUS,Austin-Bergstrom International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",25.66,Approve in Full
03/18/2014,03/10/2014,8,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",131.61,Approve in Full
03/13/2014,02/26/2014,15,GEG,Spokane International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",145,Approve in Full
03/18/2014,02/06/2014,40,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics; Personal Electronics""",428.97,Settle
03/18/2014,03/17/2014,1,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",45,Settle
03/19/2014,01/22/2014,56,SMF,Sacramento International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Cameras""",116.27,Approve in Full
03/19/2014,02/23/2014,24,MCO,Orlando International Airport,UAL  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/18/2014,03/01/2014,17,PHX,Phoenix Sky Harbor International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/17/2014,03/02/2014,15,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
03/19/2014,12/28/2013,81,BWI,Baltimore/Washington Intl Thurgood Marshall,Delta Air Lines  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/19/2014,03/19/2014,0,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Personal Electronics""",0,Deny
03/19/2014,02/25/2014,22,F,Foreign airport,Air Canada,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
03/19/2014,03/12/2014,7,LAS,McCarran International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/19/2014,02/23/2014,24,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/19/2014,03/05/2014,14,MSY,New Orleans International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",126.98,Approve in Full
03/18/2014,02/28/2014,18,JFK,John F. Kennedy International,LOT Polish Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",323.51,Settle
03/20/2014,02/19/2014,29,DEN,Denver International Airport ,USAir  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",227.36,Settle
03/19/2014,03/08/2014,11,RSW,Southwest Florida International,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/20/2014,03/03/2014,17,RNO,Reno/Tahoe International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",137.93,Approve in Full
03/19/2014,01/31/2014,47,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/18/2014,02/24/2014,22,BNA,Nashville International,UAL  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/18/2014,03/03/2014,15,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/19/2014,03/10/2014,9,OAK,Metropolitan Oakland International,USAir  ,Property Damage,Checked Baggage,"""Household Items""",0,Deny
03/20/2014,03/04/2014,16,SYR,Syracuse-Hancock International,UAL  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/19/2014,10/22/2013,148,IAD,Washington Dulles International,South African Airways  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",200,Approve in Full
03/19/2014,03/01/2014,18,TTN,Trenton-Mercer,Frontier Airlines,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses; Personal Electronics""",0,Deny
03/18/2014,03/04/2014,14,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
03/19/2014,03/03/2014,16,SRQ,Sarasota Bradenton International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
03/21/2014,03/05/2014,16,SAN,San Diego International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/18/2014,02/04/2014,42,SMF,Sacramento International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
03/18/2014,01/18/2014,59,MKE,General Mitchell International Airport,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/18/2014,02/21/2014,25,FLL,Ft. Lauderdale-Hollywood International,Air Canada,Passenger Property Loss,Checked Baggage,"""Clothing""",70,Approve in Full
03/19/2014,03/04/2014,15,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,"""Computer & Accessories""",1790.29,Approve in Full
03/18/2014,03/08/2014,10,MKK,Molokai Airport ,Island Air,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Baggage/Cases/Purses""",0,Deny
03/18/2014,10/24/2013,145,TPA,Tampa International,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/21/2014,02/22/2014,27,RSW,Southwest Florida International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Hunting & Fishing Items""",100,Approve in Full
03/20/2014,02/19/2014,29,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Medical/Science""",0,Deny
03/18/2014,03/06/2014,12,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",7.41,Approve in Full
03/18/2014,01/15/2014,62,LGA,LaGuardia ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/19/2014,03/01/2014,18,OAK,Metropolitan Oakland International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
03/21/2014,03/08/2014,13,EGE,Eagle County Regional,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/21/2014,03/08/2014,13,DEN,Denver International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
03/21/2014,02/22/2014,27,MDW,Midway International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",64,Approve in Full
03/21/2014,03/07/2014,14,ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"""Other""",25,Approve in Full
03/18/2014,11/12/2013,126,MSN,Dane County Regional (Madison),American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/24/2014,03/15/2014,9,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing; Other""",0,Deny
03/24/2014,03/21/2014,3,JFK,John F. Kennedy International,Lufthansa  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",10.89,Approve in Full
03/19/2014,01/21/2014,57,JFK,John F. Kennedy International,Royal Air Maroc,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/21/2014,03/16/2014,5,SAN,San Diego International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",64.05,Settle
03/23/2014,02/15/2014,36,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",84.83,Approve in Full
03/18/2014,12/30/2012,443,BWI,Baltimore/Washington Intl Thurgood Marshall,AirTran Airlines,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",71.87,Approve in Full
03/21/2014,02/23/2014,26,SEA,Seattle-Tacoma International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",99,Approve in Full
03/24/2014,02/20/2014,32,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",40,Approve in Full
03/21/2014,03/10/2014,11,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Clothing""",108.5,Approve in Full
03/19/2014,03/10/2014,9,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/18/2014,03/02/2014,16,LAS,McCarran International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
03/23/2014,03/12/2014,11,FLL,Ft. Lauderdale-Hollywood International,Westjet Airlines Ltd  ,Passenger Property Loss,Checked Baggage,"""Clothing""",44.81,Approve in Full
03/22/2014,03/20/2014,2,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Home Decor""",0,Deny
03/23/2014,02/21/2014,30,OKC,Will Rogers World,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
03/18/2014,02/22/2014,24,PWM,Portland International Jetport,USAir  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/19/2014,03/10/2014,9,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",10,Approve in Full
03/18/2014,03/06/2014,12,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",7.41,Approve in Full
03/20/2014,02/19/2014,29,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/18/2014,03/06/2014,12,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
03/20/2014,01/25/2014,54,RDM,Roberts Field,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",94.95,Approve in Full
03/20/2014,03/11/2014,9,CVG,Cincinnati/Northern Kentucky International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Accessories""",0,Deny
03/18/2014,02/05/2014,41,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",10,Approve in Full
03/20/2014,02/12/2014,36,OAK,Metropolitan Oakland International,USAir  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",123.52,Settle
03/19/2014,02/07/2014,40,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/20/2014,03/05/2014,15,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/20/2014,03/08/2014,12,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Home Decor""",0,Deny
03/24/2014,03/08/2014,16,RDD,Redding Municipal,UAL  ,Passenger Property Loss,Checked Baggage,"""Cameras; Jewelry & Watches""",0,Deny
03/20/2014,05/20/2012,669,MDW,Midway International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
03/24/2014,03/15/2014,9,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/24/2014,03/19/2014,5,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Audio/Video""",100,Approve in Full
03/24/2014,03/17/2014,7,PHL,Philadelphia International Airport,Lufthansa  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
03/22/2014,03/12/2014,10,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",7.55,Approve in Full
03/23/2014,02/14/2014,37,PDX,Portland International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/20/2014,03/02/2014,18,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",0,Deny
03/25/2014,03/03/2014,22,F,Foreign airport,British Airways  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
03/25/2014,03/12/2014,13,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
03/21/2014,02/26/2014,23,LAX,Los Angeles International Airport ,Singapore Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",13.5,Approve in Full
03/21/2014,03/19/2014,2,MSY,New Orleans International,-,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",20,Approve in Full
03/25/2014,01/19/2014,65,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
03/26/2014,11/29/2013,117,BOS,Boston (Logan) International Airport ,British Airways  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
03/21/2014,02/10/2014,39,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",569.88,Settle
03/24/2014,03/21/2014,3,SAT,San Antonio International,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Clothing""",166.75,Settle
03/24/2014,03/17/2014,7,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
03/24/2014,01/23/2014,60,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
